subj,possible_vocab,vocab,type,word,avg_known,understands,ci_lower,ci_upper
17,85,54,early,fish,0.9512195121951219,TRUE,0.878769401330377,1
17,85,54,early,horse,0.9024390243902439,TRUE,0.8,0.9800192307692307
17,85,54,late,leopard,0.21951219512195122,FALSE,0.09085858585858586,0.3571886446886447
17,85,54,late,lobster,0.17073170731707318,FALSE,0.06382978723404255,0.3000757575757575
17,85,54,late,peacock,0.3170731707317073,FALSE,0.1841507177033493,0.4750568181818181
17,85,54,late,raccoon,0.3902439024390244,FALSE,0.23809523809523808,0.5428726708074534
17,85,54,late,rhinoceros,0.4634146341463415,TRUE,0.31242559523809527,0.6216216216216216
17,85,54,late,squirrel,0.6097560975609756,TRUE,0.4594594594594595,0.7576018808777429
17,85,54,late,swan,0.12195121951219512,FALSE,0.02564102564102564,0.23085106382978715
18,85,42,early,bird,0.926829268292683,TRUE,0.8366496598639456,1
18,85,42,early,cat,1,TRUE,1,1
18,85,42,early,cow,0.9512195121951219,TRUE,0.8723404255319149,1
18,85,42,early,dog,0.975609756097561,TRUE,0.9117647058823529,1
18,85,42,late,donkey,0.34146341463414637,FALSE,0.1944220430107527,0.4864864864864865
18,85,42,early,duck,0.926829268292683,FALSE,0.8431114551083592,1
18,85,42,early,elephant,0.8780487804878049,TRUE,0.7735849056603774,0.9714484126984128
18,85,42,early,fish,0.9512195121951219,TRUE,0.878769401330377,1
18,85,42,early,horse,0.9024390243902439,TRUE,0.8,0.9800192307692307
18,85,42,late,leopard,0.21951219512195122,FALSE,0.09085858585858586,0.3571886446886447
18,85,42,late,lobster,0.17073170731707318,FALSE,0.06382978723404255,0.3000757575757575
18,85,42,late,peacock,0.3170731707317073,FALSE,0.1841507177033493,0.4750568181818181
18,85,42,late,raccoon,0.3902439024390244,FALSE,0.23809523809523808,0.5428726708074534
18,85,42,late,rhinoceros,0.4634146341463415,FALSE,0.31242559523809527,0.6216216216216216
18,85,42,late,squirrel,0.6097560975609756,FALSE,0.4594594594594595,0.7576018808777429
18,85,42,late,swan,0.12195121951219512,FALSE,0.02564102564102564,0.23085106382978715
19,85,74,early,bird,0.926829268292683,TRUE,0.8366496598639456,1
19,85,74,early,cat,1,TRUE,1,1
19,85,74,early,cow,0.9512195121951219,TRUE,0.8723404255319149,1
19,85,74,early,dog,0.975609756097561,TRUE,0.9117647058823529,1
19,85,74,late,donkey,0.34146341463414637,TRUE,0.1944220430107527,0.4864864864864865
19,85,74,early,duck,0.926829268292683,TRUE,0.8431114551083592,1
19,85,74,early,elephant,0.8780487804878049,TRUE,0.7735849056603774,0.9714484126984128
19,85,74,early,fish,0.9512195121951219,TRUE,0.878769401330377,1
19,85,74,early,horse,0.9024390243902439,TRUE,0.8,0.9800192307692307
19,85,74,late,leopard,0.21951219512195122,FALSE,0.09085858585858586,0.3571886446886447
19,85,74,late,lobster,0.17073170731707318,FALSE,0.06382978723404255,0.3000757575757575
19,85,74,late,peacock,0.3170731707317073,TRUE,0.1841507177033493,0.4750568181818181
19,85,74,late,raccoon,0.3902439024390244,TRUE,0.23809523809523808,0.5428726708074534
19,85,74,late,rhinoceros,0.4634146341463415,TRUE,0.31242559523809527,0.6216216216216216
19,85,74,late,squirrel,0.6097560975609756,TRUE,0.4594594594594595,0.7576018808777429
19,85,74,late,swan,0.12195121951219512,FALSE,0.02564102564102564,0.23085106382978715
20,85,60,early,bird,0.926829268292683,TRUE,0.8366496598639456,1
20,85,60,early,cat,1,TRUE,1,1
20,85,60,early,cow,0.9512195121951219,TRUE,0.8723404255319149,1
20,85,60,early,dog,0.975609756097561,TRUE,0.9117647058823529,1
20,85,60,late,donkey,0.34146341463414637,FALSE,0.1944220430107527,0.4864864864864865
20,85,60,early,duck,0.926829268292683,TRUE,0.8431114551083592,1
20,85,60,early,elephant,0.8780487804878049,TRUE,0.7735849056603774,0.9714484126984128
20,85,60,early,fish,0.9512195121951219,TRUE,0.878769401330377,1
20,85,60,early,horse,0.9024390243902439,TRUE,0.8,0.9800192307692307
20,85,60,late,leopard,0.21951219512195122,FALSE,0.09085858585858586,0.3571886446886447
20,85,60,late,lobster,0.17073170731707318,FALSE,0.06382978723404255,0.3000757575757575
20,85,60,late,peacock,0.3170731707317073,FALSE,0.1841507177033493,0.4750568181818181
20,85,60,late,raccoon,0.3902439024390244,FALSE,0.23809523809523808,0.5428726708074534
20,85,60,late,rhinoceros,0.4634146341463415,TRUE,0.31242559523809527,0.6216216216216216
20,85,60,late,squirrel,0.6097560975609756,FALSE,0.4594594594594595,0.7576018808777429
